N;Calculated Area;Relative Deviation
37100;0.94638812591374932293;0.0019808427440142079012
37600;0.94277917721391224504;-0.0018401027651988152625
38100;0.94320193135942520524;-0.0013925152021304191587
38600;0.94231840578002867836;-0.0023279408276103254541
39100;0.94638071529111778002;0.0019729968067012876656
39600;0.94317508831545449066;-0.0014209350597798615229
40100;0.94513041328897773319;0.00064924958345792852746
40600;0.94007949911824151279;-0.0046983653103105050761
41100;0.9461915454471996334;0.0017727147507024866059
41600;0.94470479768019233191;0.00019863246908526885652
42100;0.9485086715066841645;0.0042259533937642661597
42600;0.94350852597041090508;-0.0010679106151914004655
43100;0.95054426163567296015;0.0063811181270034007113
43600;0.9435999184784793492;-0.00097114952981060763924
44100;0.94429598322411578692;-0.0002341965595228564785
44600;0.94088454208282301661;-0.0038460325242057596257
45100;0.94469946768240586898;0.0001929893766502834907
45600;0.94711495254771715935;0.0027503646170076354559
46100;0.94730885885907378796;0.0029556613699428099448
46600;0.94763272330547643207;0.0032985502567069273361
47100;0.94420770013291310807;-0.00032766557471987150726
47600;0.94032942489216819748;-0.0044337584003910418193
48100;0.94549741156724953495;0.0010378060689837152828
48600;0.94721546352644447886;0.0028567798101114040034
49100;0.94192301430181479827;-0.0027465583859952995976
49600;0.94878355269603231736;0.0045169816497365317121
50100;0.9428325939347325102;-0.0017835482401804098832
50600;0.94463258779713643598;0.00012218083418237351244
51100;0.94108917542827408287;-0.0036293786099032962142
51600;0.94362214291274615352;-0.00094761958816572372088
52100;0.94152399208749915083;-0.0031690199571266482528
52600;0.94379079425748113596;-0.00076906132871555209392
53100;0.94373149591866301034;-0.00083184296964636879508
53600;0.94392983191247026298;-0.00062185632592174743937
54100;0.94932317081216821553;0.0050882980050043500123
54600;0.94628445673847261244;0.0018710838356276059038
55100;0.9421892844272016232;-0.0024646470249719892517
55600;0.94569918737515290541;0.0012514345883115232487
56100;0.94428916236260262984;-0.00024141809197878694409
56600;0.94438372087360078488;-0.00014130502637256720563
57100;0.9456587515362206986;0.0012086234679466781837
57600;0.94231098463263551768;-0.0023357979079302497796
58100;0.94179620596209134842;-0.0028808156992729721038
58600;0.94318866252824751228;-0.0014065634707863855675
59100;0.94561508013465489508;0.0011623867215774575691
59600;0.94122650551392961216;-0.0034839814824547893704
60100;0.94591671146975053741;0.0014817364799499309173
60600;0.94597097295635157455;0.0015391853939676933098
61100;0.93976416190216705004;-0.005032226060312811923
61600;0.94420998352853746649;-0.00032524804790464058183
62100;0.94608825739874080618;0.0016633593572794795439
62600;0.94418256006959266902;-0.00035428241525570377222
63100;0.94274287702109360598;-0.001878535303389288055
63600;0.94181717919383656223;-0.0028586104582690816805
64100;0.94367501383639318391;-0.00089164292152976254522
64600;0.94221463921586079415;-0.0024378028457048587715
65100;0.94290801858304618133;-0.001703692998328093294
65600;0.94240943413341771162;-0.0022315652880775570591
